academic supervisor|w|http://rdaregistry.info/Elements/w/P10407|ERR: This label is only valid for persons.|ERR: This label is only valid for persons.
addressee|w|http://rdaregistry.info/Elements/w/P10413|http://rdaregistry.info/Elements/w/P10507|http://rdaregistry.info/Elements/w/P10554
aggregator|w|http://rdaregistry.info/Elements/w/P10448|http://rdaregistry.info/Elements/w/P10542|http://rdaregistry.info/Elements/w/P10589
appellant|w|http://rdaregistry.info/Elements/w/P10042|http://rdaregistry.info/Elements/w/P10009|ERR: This label is only valid for persons and corporate bodies.
appellee|w|http://rdaregistry.info/Elements/w/P10035|http://rdaregistry.info/Elements/w/P10005|ERR: This label is only valid for persons and corporate bodies.
architect|w|http://rdaregistry.info/Elements/w/P10438|http://rdaregistry.info/Elements/w/P10532|http://rdaregistry.info/Elements/w/P10579
artist|w|http://rdaregistry.info/Elements/w/P10451|http://rdaregistry.info/Elements/w/P10545|http://rdaregistry.info/Elements/w/P10592
audio producer|w|http://rdaregistry.info/Elements/w/P10421|http://rdaregistry.info/Elements/w/P10515|http://rdaregistry.info/Elements/w/P10562
author|w|http://rdaregistry.info/Elements/w/P10436|http://rdaregistry.info/Elements/w/P10530|http://rdaregistry.info/Elements/w/P10577
book artist|w|http://rdaregistry.info/Elements/w/P10428|http://rdaregistry.info/Elements/w/P10522|http://rdaregistry.info/Elements/w/P10569
calligrapher|w|http://rdaregistry.info/Elements/w/P10426|http://rdaregistry.info/Elements/w/P10520|http://rdaregistry.info/Elements/w/P10567
cartographer|w|http://rdaregistry.info/Elements/w/P10435|http://rdaregistry.info/Elements/w/P10529|http://rdaregistry.info/Elements/w/P10576
casting director|w|http://rdaregistry.info/Elements/w/P10453|http://rdaregistry.info/Elements/w/P10547|http://rdaregistry.info/Elements/w/P10594
choreographer|w|http://rdaregistry.info/Elements/w/P10434|http://rdaregistry.info/Elements/w/P10528|http://rdaregistry.info/Elements/w/P10575
civil defendant|w|http://rdaregistry.info/Elements/w/P10397|http://rdaregistry.info/Elements/w/P10395|ERR: This label is only valid for persons and corporate bodies.
